"Zona","Precio (€/mes)","Habitaciones","Baños","Metros cuadrados","Planta","Ubicación","Caracteristicas","Extras","Contacto","Telefono","Detalles contacto","Descripcion","Images","ref. Fotocasa","url"
"Abrera","850","3","1","100","1ª","Piso en  Avinguda Ca N´Amat / Abrera","Tipo de inmueble : Piso, Planta : 1ª planta, Antigüedad : De 30 a 50 años","Calefacción","Rovira Asesoria Inmobiliaria","935431334","Referencia : 3681-A Contacto: Dpto. comercial","SE ALQUILA PISO PARA IDEAL  TRABAJADORES)","https://d.inmofactory.com/1/108188/13448246/155900385.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900386.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900387.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900388.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900389.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900390.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900391.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900392.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900393.jpg/690x518/p_1, https://d.inmofactory.com/1/108188/13448246/155900394.jpg/690x518/p_1","148352007","https://www.fotocasa.es/vivienda/abrera/calefaccion-abrera-148352007?RowGrid=1&tti=3&opi=300"
"Martorell","950","4","2","100","1ª","Piso en Martorell ,Camí Fondo / Martorell","Tipo de inmueble : Piso, Planta : 1ª planta, Estado : Buen estado","Aire acondicionado, Ascensor, Balcón, Calefacción, Parquet, Terraza, Trastero","Habitat Catalunya","932824382","Referencia : 88407 Contacto: Habitat Catalunya","Piso en Martorell zona Camí Fondo, 100 m. de superficie, 2 habitaciones dobles y 2 habitaciones sencillas, 2 baños completos, propiedad en buen estado, carpinteria interior de roble, suelo de parquet, carpintería exterior de aluminio.  aire acondicionado, ascensor, 1 balcón, calefacción, gas ciudad, muy luminoso, gran terraza, trastero,muy  céntrico, zona de paso, parking incluído    sin muebles, menos 1 habitación- despacho","https://d.inmofactory.com/1/98115/16304564/216732740.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732741.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732742.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732743.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732744.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732745.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732746.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732747.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732748.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732749.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732750.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732751.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732752.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732753.jpg/690x518/p_1, https://d.inmofactory.com/1/98115/16304564/216732754.jpg/690x518/p_1","149721234","https://www.fotocasa.es/vivienda/martorell/aire-acondicionado-calefaccion-terraza-trastero-ascensor-martorell-149721234?RowGrid=2&tti=3&opi=300"
"Esparreguera","750","3","1","100","","Piso en Centro Pueblo. / Esparreguera","Tipo de inmueble : Piso, Estado : Buen estado, Orientación : Orientación Sureste","Amueblado, Ascensor, Balcón, Calefacción, Electrodomésticos, Horno, Terraza, Vistas a la montaña","Fininform","932939346","Referencia : 001085 Contacto: Fininform","AMPLIO PISO DE 100 M2  .-  FINCA CON ASCENSOR  .-PISO DE  3 HABITACIONES  + 01 BAÑO  + .- BALCON GRANDE  .- PISO AMUEBLADO Y CON ELECTRODOMESTICOS .-","https://d.inmofactory.com/1/85594/4887209/14743850.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4887209/214640666.jpg/690x518/p_1","149588283","https://www.fotocasa.es/vivienda/esparreguera/calefaccion-terraza-ascensor-amueblado-esparreguera-149588283?RowGrid=3&tti=3&opi=300"
"Collbató","850","4","2","160","","Casa adosada en Les Illes - Collbató / Collbató","Tipo de inmueble : Casa adosada, Estado : Muy buen estado, Antigüedad : De 10 a 20 años","Aire acondicionado, Amueblado, Armarios, Balcón, Calefacción, Cocina Office, Electrodomésticos, Garaje Privado, Gres Cerámica, Horno, Jardín Privado, Lavadero, Lavadora, Nevera, Puerta Blindada, Terraza, Vistas a la montaña","Fininform","932939346","Referencia : 002078 Contacto: Fininform","CASA ADOASADA DE 160 M2 DE 2 PLANTAS. TOTALMENTE REFORMADA. TERRAZA. PATIO DE 15 M2 DELANTE Y PATIO DE 25 M2 DETRAS. PLANTA PRIMERA : COMEDOR-SALÓN CON SALIDA TERRAZA + COCINA OFFICE  + 1 BAÑO. PLANTA PRIMERA :  4 HABITACIONES  + 1 BAÑO COMPLETO. PLANTA SÓTANOS : GARAGE CON SALIDA PATIO. CASA IMPECABLES. BOMBA DE CALOR. AIRE ACONDICONADO. TODA AMUEBLADA Y CON ELECTRODOMESTICOS. SUELO DE GRES. VENTANAS DE ALUMINIO.  PRECIO  850 EUROS - INCLUIDA CONTRIBUCIÓN-COMUNIDAD Y TASA DE BASURAS. DISPONIBILIDAD FINALES ENERO 2019.","https://d.inmofactory.com/1/85594/4812453/13989224.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923301.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208922940.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208922947.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923325.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989219.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923328.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923335.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923343.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989221.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989210.jpg/690x518/p_1","149299489","https://www.fotocasa.es/vivienda/collbato/aire-acondicionado-calefaccion-parking-jardin-terraza-amueblado-collbato-149299489?RowGrid=4&tti=3&opi=300"
"Collbató","1500","4","3","240","","Chalet en Collbató, Zona De - Collbató / Collbató","Tipo de inmueble : Chalet","Calefacción, Garaje Privado, Jardín Privado, Piscina, Vistas a la montaña","Finquespa","932991896","Referencia : 1295 Contacto: Administrador","SEMINUEVA - 4 HABITACIONES - 3 BAÑOS -  CALEFACCION - GARAJE 100M - PISCINA PARTICULAR... 1.500€!!","https://d.inmofactory.com/1/86924/16307692/216816338.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816295.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816305.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816291.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816294.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816340.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816319.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816292.jpg/690x518/p_1, https://d.inmofactory.com/1/86924/16307692/216816346.jpg/690x518/p_1","149726360","https://www.fotocasa.es/vivienda/collbato/calefaccion-parking-jardin-piscina-collbato-149726360?RowGrid=5&tti=3&opi=300"
"Martorell","760","3","2","64","2ª","Piso en Pasaje Fàbrica Sardà I Tolosa 7 / Martorell","Tipo de inmueble : Piso, Planta : 2ª planta, Estado : Casi nuevo","Aire acondicionado, Ascensor, Balcón, Horno, Parking comunitario, Parquet, Trastero, Videoportero","Onix Renta","933034150","Referencia : 6468 Contacto: Rosi","","https://d.inmofactory.com/1/91111/16319614/217117102.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117018.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117021.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117046.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117053.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117055.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117058.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117063.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117065.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117070.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117073.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117079.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117083.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117095.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117100.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117105.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117138.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117140.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117144.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117148.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117152.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117157.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117162.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117167.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117173.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117174.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117180.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117183.jpg/690x518/p_1, https://d.inmofactory.com/1/91111/16319614/217117189.jpg/690x518/p_1","149742347","https://www.fotocasa.es/vivienda/martorell/aire-acondicionado-trastero-ascensor-parking-pasaje-fabrica-sarda-i-tolosa-7-149742347?RowGrid=6&tti=3&opi=300"
"Collbató","1375","4","3","185","","Chalet en Collbató / Collbató","Tipo de inmueble : Chalet","Calefacción, Cocina Office, Garaje Privado, Trastero","Finques Isavi","932753128","Referencia : 6064 Contacto: Finques Isavi","Se alquila magnifica y espectacular casa a 4 vientos en zona inmejorable de Collbato ( CAN DALMASES), consta de 185m2 en 2 plantas, balcon, 4 habitaciones ( 3 dobles ( 1 de ellas suite con baño completo con bañera hidromasaje) y 1 individual), 3 baños completos ( 1 con bañera hidromasaje y 2 con plato de ducha), salon comedor amplio y luminoso , cocina independiente completa sin electrodomesticos, parcela de 700m2, suelo de terrazo, ventanas de aluminio climalit, puertas interiores de madera, semiamueblada, jardin privado, armarios empotrados, hilo musical, dormitorios con armarios, barbacoa, alarma, caseta en exterior como trastero, garage privado para 2 coches y calefaccion de gasoil. La distribucion es la siguiente: Planta principal: comedor  cocina  1 baño completo  1 habitacion individual 1 Planta: 3 habitaciones dobles  2 baños completos Garage privado para 2 coches Toda exterior y muy luminosa. Lista para entrar a vivir. SE REQUIERE 2 MESES DE FIANZA Y CONTRATO DE TRABAJO FIJO PARA ENTRAR A VIVIR EL DIA 1 DE MARZO DE 2019.","https://d.inmofactory.com/1/92826/16291008/216382658.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382659.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382660.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382661.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382662.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382663.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382664.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382665.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382666.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382667.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382668.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382669.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382673.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382674.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382675.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382676.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382677.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382678.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382679.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382680.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382681.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382682.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382683.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382684.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382685.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382686.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382687.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382688.jpg/690x518/p_1, https://d.inmofactory.com/1/92826/16291008/216382689.jpg/690x518/p_1","149701478","https://www.fotocasa.es/vivienda/collbato/calefaccion-parking-trastero-collbato-149701478?RowGrid=7&tti=3&opi=300"
"Martorell","905","2","1","152","","Casa adosada en  Mercadal / Martorell","Tipo de inmueble : Casa adosada, Antigüedad : Más de + 100 años","Armarios, Cocina Equipada, No amueblado, Puerta Blindada, Terraza, Z. Comunitaria","Inveriba","932934650","Referencia : 1506 Contacto: Inveriba","Casa en alquiler en Martorell, Barcelona. Dispone de una superficie de 152 m² con sótano, planta de acceso, primera y segunda planta. El sótano de espacio abierto y en el mismo, a un nivel más elevado está el lavadero. La planta de acceso a la vivienda se distribuye en  salón-comedor, 1 habitación, 1 baño y amplia cocina amueblada con barra de desayuno. La primera planta cuenta con 2 habitaciones, 1 estancia, 1 baño con bañera y un vestidor justo al lado de una de las habitaciones. En la azotea de la vivienda se puede disfrutar de una magnífica terraza, en la parte bajo cubierta tiene una fantástica barbacoa y un fregadero. Casa muy céntrica con servicios básicos, un colegio, comercios y paradas de autobús a su alrededor, así­ como también próxima a lugares de interés cultural. A cinco minutos en coche de la estación de ferrocarril de Martorell y fácil acceso a la N-IIa y la C-243b. REQUISITOS PARA PODER REALIZAR UNA VISITA- Al menos uno de los inquilinos debe tener contrato indefinido.- La suma de los ingresos de los inquilinos debe ser al menos de 2.700€ para este inmueble en concreto.","https://d.inmofactory.com/1/93528/15644076/202247788.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247780.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247781.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247782.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247783.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247784.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247785.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247786.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247787.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247779.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247789.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15644076/202247790.jpg/690x518/p_1","148741271","https://www.fotocasa.es/vivienda/martorell/terraza-zona-comunitaria-se-aceptan-mascotas-no-amueblado-martorell-148741271?RowGrid=8&tti=3&opi=300"
"Martorell","750","3","2","70","","Piso en La Vila - Martorell / Martorell","Tipo de inmueble : Piso, Estado : Muy buen estado, Orientación : Orientación Sur","Armarios, Calefacción, Cocina Equipada, Cocina Office, Gres Cerámica, Horno, Lavadora, Suite - con baño, Terraza","Mareus Sl","932938732","Referencia : 227 Contacto: Mareus, Sl","Piso ubicado en La Vila, distribuido en 3 hab, una de ellas suit y 2 baños. Suelo de parquet, calefacción y terraza. No se aceptan animales.  Primer piso sin ascensor. Finca con solo dos vecinos. Piso reformado, orientación Sur. Muy céntrico en la Vila, cerca del colegio La Merçè.","https://d.inmofactory.com/1/86905/5632240/148851072.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851146.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851166.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851033.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851205.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851232.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851322.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851335.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851281.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/5632240/148851307.jpg/690x518/p_1","148783559","https://www.fotocasa.es/vivienda/martorell/calefaccion-terraza-martorell-148783559?RowGrid=9&tti=3&opi=300"
"Sant Andreu de la Barca","750","3","2","79","3ª","Piso en Calle Brasil / Sant Andreu de la Barca","Tipo de inmueble : Piso, Planta : 3ª planta, Estado : Buen estado","Amueblado, Ascensor, Balcón, Gres Cerámica","Don Piso - Sant Andreu De La Barca","935432218","Referencia : A221163 Contacto: Vanesa","Piso de alquiler de 79m² construidos, comedor con salida a balcón, 3 hab. , 2 baños, cocina con lavadero, Finca del año 1997 con ascensor, Dejan los muebles que salen en las fotografías. CONDICIONES: Se realiza seguro de viabilidad de arrendamiento. Dos meses de fianza. No se admiten mascotas.","https://d.inmofactory.com/1/102691/16313466/216957405.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957408.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957383.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957324.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957349.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957369.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957328.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957330.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957411.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957416.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957418.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957424.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957437.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957414.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957452.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957456.jpg/690x518/p_1, https://d.inmofactory.com/1/102691/16313466/216957420.jpg/690x518/p_1","149734302","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/ascensor-amueblado-calle-brasil-149734302?RowGrid=10&tti=3&opi=300"
