Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Antigüedad,Estado conservacion,URL,Descripcion
Casa adosada en venta en La Plana,Esparreguera,178000 ,4, 2 ,217 ,-,820,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-26927192_500732/,"Casa a reformar adosada 116 m²  de 2 plantas en parcela de 120 m², en esparraguera, la zona de la plana. Planta baja: salón comedor. Cocina independiente con salida a patio. Una habitación con baño completo. Segunda planta: 3 habitaciones dobles con un baño completo . Sale a una galería y a un patio que se comunica con la planta baja. Esta muy cerca del centro y de todos los comercios y escuelas. Venga a verla!! Condiciones especiales de financiacion."
Casa adosada en venta en Esparreguera,Esparreguera,275000 ,3, 2 ,165 ,-,1.666,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-100036323922_100500/,"Se vende casa adosada en la zona del castell de esparreguera, zona muy tranquila a la vez que tienes todos los servicios necesarios a poca distancia, como escuelas e instituto, transporte público, supermercados, etc.... Y a pocos metros enlace autovia a-2. Barcelona se encuentra a tan solo 25 minutos..  La vivienda se ubica en una calle de uso solo para los vecinos y justo al lado de un parque infantil. Tiene un total de 4 plantas con la siguiente distribución: planta baja con amplio garage y una zona como despacho con salida a patio trasero de más de 30 m². Inicialmente era todo garage. Planta primera con 1 aseo, cocina independiente con salida a lavadero cerrado y gran salón-comedor de 30 m² con salida a bonita terraza exterior. Planta segunda con 3 habitaciones dobles (1 de ellas con gran armario-vestidor y salida a balcón) y 1 baño con bañera. Planta tercera como gran zona abuhardillada apta para muchos usos..  Fantásticos acabados como suelos de gres y parquet, carpinteria exterior de aluminio-climalit, persiana salón y puerta garage motorizada, puertas interiores de haya y exterior blindada, calefacción a gas natural, aire acondicionado con bomba de calor, etc.... Totalmente renovada de origen, casa muy luminosa con una fantástica orientación sur, son todos los servicios dados de alta y a punto para entrar a vivir !!!.  +++ llamanos para visita sin compromiso, te encantará +++."
"Casa en venta en Carrer Gran, nº 82",Esparreguera,217000 ,-, 2 ,236 ,-,919,-,-,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100006217030_109200/,"Casa de 236m²    Muy céntrica, con  local comercial en la planta baja  totalmente reformado, con baño     Local p. Baja de 96m²    + patio de 70m²  P. Primera de 72m² (3 habitaciones)  P. Segunda de 72m² (2 habitaciones y 1 habitación buhardilla)  P. Bajo cubierta 20m² (1habitación buhardilla y terraza de 20m²)  Suministros de agua, gas y electricidad de alta  Los desagües generales en planta baja son nuevos  Muy buenos inquilinos en el alquiler del local de planta baja  Ideal inversor  Los importes de venta son meramente informativos y pueden ser susceptibles de cambiar según indicaciones de la propiedad.."
Chalet en venta en Can Rial,Esparreguera,195000 ,3, 1 ,121 ,-,1.611,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-100067745906_101800/,** casa de 12 m² construidos. 88 m² útiles. +  Garaje de 24 m²** construida sobre parcela de 520 m². 3 habitaciones. 1 baño con bañera. Calefacción gasoil. Ventanas de aluminio. Mosquiteras. Magníficas vistas. Huerto y zona pavimentada. Trastero. Barbacoa.
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,234500 ,3, 2 ,100 ,4ª,2.345,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-2547570943_999081/,"Piso en venta en Francesc Macia. Zona Vinyals Esparraguera.  ¿Cuánto tiempo llevas buscando un elegante piso para ti y tu familia con unas vistas panorámicas a la escultural montaña de Montserrat?Disfruta de este piso cuya ubicación destacada, lo sitúa a pocos metros de la parada del bus, y a tan solo a cinco minutos caminando al mercado, tiendas, colegios, guarderías, institutos y zonas deportivas. Listo para acogeros a ti y a tu familia, este bello piso seminuevo, (¡con tan solo doce años ¡) todo exterior, esquinero, de aprox;100m2, más una plaza de parking y un trastero en el mismo edificio. Un hogar que ha sido optimizado con un estilo moderno y práctico, al mismo tiempo que ofrece un modo de vida relajado, situado en una de las zonas más buscadas del Baix Llobregat. ¡Un piso sencillamente perfecto ¡Con hall de entrada, tres dormitorios, principal en suite, una privilegiada terraza, dos baños completos, una cocina moderna y llena de luz, equipada con un purificador de agua por ósmosis inversa, calefacción, y descalificador que neutraliza la cal en toda la vivienda. Nos da la bienvenida un recibidor sencillamente bonito y acogedor. El sello distintivo es la pared decorada con estuco veneciano que le aporta a este espacio ese toque de belleza artesanal, tan propio de este tipo de pintura. Se va distribuyendo hacia las habitaciones, la cocina y el comedor. El acogedor vestíbulo se abre la derecha, a la zona de noche con una amplia habitación individual, otra sencilla de 7m2, donde puede ir cualquier tipo de habitación: una habitación para los peques, una sala de estar, un despacho, un estudio, o un vestidor, (estos dos dormitorios cuentan con un baño familiar con bañera, inodoro y tocador con lavabo y espejo) y un tercer dormitorio en suite de 13m2, que da a un balcón, las vistas son sorprendentes a la montaña sagrada. Cómoda en todo momento, esta dependencia, está equipado con un elegante baño completo, donde el azulejo le aporta un encanto natural y moderno.Siguiendo hacia el interior, nos encontramos con una cocina largada de 8m2, bien equipada donde se ha buscado la funcionalidad al mismo tiempo que la estética (la combinación del blanco y el negro, le aportan un toque de elegancia y funcionalidad). A destacar su pequeño rincón de desayuno rápido. ¡Hay que reconocer que se ha sacado provecho a sus dimensiones! Tiene acceso a la zona lavadero con ventana, que favorece la entrada de luz todo el año; es de agradecer, ya que ayuda a estar más cómodos en un lugar donde se pasan largos ratos poniendo lavadoras.Sentirás el confort nada más entrar en el salón, el auténtico corazón del piso, en el que se han dispuesto una zona de estar y un comedor en un espacio único de 30m2, con mucho sol por la mañana, se abre a una terraza que fluye hacia el exterior buscando las vistas despejadas del paisaje de los valles y las montañas del entorno excepcional donde se encuentra la vivienda. Merece la pena aprovechar muy bien esta terraza de 18m2 (suficientes) para convertirla en un lugar que invite a cenar en las noches de verano, charlar o tomar algo, con la familia o/y los amigos, o desconectar durante el fin de semana. En definitiva, una zona de relax excelente, con buenas vistas.Incluye en el precio una plaza de aparcamiento para un coche grande y moto y un trastero para almacenar las cosas que no se utilizan cada día: bicis, maletas, mochilas... Situado al pie de la escultural silueta de la mágica montaña de Montserrat, es ideal para gozar de una excursión que nunca decepciona, en cualquier época del año, con los niños, la familia y/o los amigos o para una mayor tranquilidad, subir la montaña, hasta llegar a la cumbre, y disfrutar de su tranquilidad, mientras ves a los pies el santuario y más allá.Es un piso ideal para tu familia, dada su corta distancia a la salida de la A-2, dirección Barcelona y/o Igualada, Lérida, y a menos de 7 min de la autopista del mediterráneo, a la parada del Bus con conexión a Barcelona y otras capitales de la comarca ( Olesa de Montserrat, Abrera, Martorell, Manresa, Igualada,…) y el servicio de bus del Hispano Igualadina que te llevara en menos de 10’ a la parada de tren (FGC o Renfe).                                           ¡Nada más verlo lo querrás!     ¡Pide una visita hoy para apreciar plenamente lo que te puede ofrecer!"
"Piso en venta en Carrer del Camí Ral, cerca de Carrer del Doctor Fleming",Esparreguera,165000 ,3, 1 ,88 ,-,1.875,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-1698625027_501243/,"Et presentem una llar encantador que reuneix comoditat, proximitat i estades equilibrades, situat a escassos metres de el centre de la població d´Esparreguera. La finca disposa d´ascensor. L´habitatge gaudeix de molta llum natural. Es compon de menjador amb accés a balcó de 8 m2, cuina office amb zona d´aigües, 3 habitacions i 1 bany complet. A més disposa de plaça de pàrquing."
"Casa en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,200000 ,4, 1 ,120 ,-,1.666,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-95013243918_100500/,"Urb. Mas d'en gall - parcela 600 m². - vivienda 80 m². + 30 m². Garaje. . 4 locales comerciales. Salón comedor 22 m² con salida a porche, 4 habitaciones (3 dobles), cocina office, baño nuevo con plato de ducha, garaje 1 coche, zona barbacoa, 2 terrazas de 50 m². (ideal para poner piscina). Calefacción gas, carpintería interior roble, exterior aluminio climalit.  Por el precio de una casa / casa y negocio."
Casa en venta en Esparreguera,Esparreguera,200000 ,3, 1 ,90 ,Bajo,2.222,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-99247113175_519327/,"90 m²,. Vivienda  -  parcela plana 562 m². - antigüedad 40 años  Salón comedor 24 m². Con salida balcón y con chimenea. Cocina office de origen, baño completo con bañera, 3 habitaciones dobles, carpinteria interior sapelly, exterior aluminio climalit, suelo terrazo, bomba de calor en el comedor, piscina con depuradora, trastero, barbacoa, patio, jardin"
Casa en venta en Esparreguera,Esparreguera,199000 ,4, 1 ,150 ,Sótano,1.326,Entre 30 y 50 años,Reformado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-90036078325_513853/,"Propietaris.cat ®, líder en catalunya para la venta entre particulares sin comisiones, ofrece:  - fantástica casa en una sola planta con vistas panorámicas espectaculares y privacidad total en esparraguera, con 1000 mt2 de parcela y posibilidad de ampliar construcción - la casa es totalmente exterior, con mucha luz y una terraza muy amplia a pie de comedor con vistas impresionantes y despejadas - la construcción se llevó a cabo en un solo nivel, sin escaleras interiores, para maximizar la comodidad y el día a día, además de aprovechar al máximo la orientación del edificio - se dispone de una gran salón comedor de 25 mt2 con chimenea de obra y cocina independiente anexa al comedor y totalmente equipada - hay 4 habitaciones (2 dobles + 2 individuales) y un baño completo y espacioso con jacuzzi para relajarse a diario - la casa está rodeada de jardines y terrazas, incluyendo una zona de barbacoa y porche para disfrutar todo el año con amigos o en familia - suelos recién reformados de estilo rústico, calefacción de gasoil en toda la casa, aunque con toma de gas natural si se prefiere esta otra opción - instalación de agua nueva hecha hace 1 año para optimizar riego y uso diario del subministro - la finca tiene mucho espacio para instalar piscina olímpica, zona de gimansio o zona de huerto. Sin duda, para el disfrute de cualquier tipo de pareja o unidad familiar  Una casa perfecta para entrar a vivir directamente o actualizar a gusto del comprador.  Propietaris.cat ® le garantiza el mejor precio del mercado, sin comisiones de agencia.   Propietaris.cat ®, ofrece siempre inmuebles con fotos 100% reales, sin filtros ni gran angular.  Con propietaris.cat ®, no hay intermediarios, con lo que comprador y vendedor se ahorran directamente miles de euros  y la venta se cierra al mejor precio para ambas partes!  Todos los inmuebles, servicios integrales y financiación hipotecaria 100% en www.propietaris.cat"
Piso en venta en Calle Frances Macia,Esparreguera,177260 ,3, 1 ,80 ,1ª,2.215,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95025960710_519351/,"Piso muy centrico , cerca de transporte publico y todos los servicios, piso para entrar a vivir , tiene osmosis y descalcificador , cocina americana piso muy amplio"
