,Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Description,Antigüedad,Estado conservacion,Caracteristicas,Muebles y acabados,Equipamiento e instalaciones,Certificado energetico,URL
0,"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,234.500 , 3 , 2 s,100 ,4ª,2.345,"Piso en venta en Francesc Macia. Zona Vinyals Esparraguera.  ¿Cuánto tiempo llevas buscando un elegante piso para ti y tu familia con unas vistas panorámicas a la escultural montaña de Montserrat?Disfruta de este piso cuya ubicación destacada, lo sitúa a pocos metros de la parada del bus, y a tan solo a cinco minutos caminando al mercado, tiendas, colegios, guarderías, institutos y zonas deportivas. Listo para acogeros a ti y a tu familia, este bello piso seminuevo, (¡con tan solo doce años ¡) todo exterior, esquinero, de aprox;100m2, más una plaza de parking y un trastero en el mismo edificio. Un hogar que ha sido optimizado con un estilo moderno y práctico, al mismo tiempo que ofrece un modo de vida relajado, situado en una de las zonas más buscadas del Baix Llobregat. ¡Un piso sencillamente perfecto ¡Con hall de entrada, tres dormitorios, principal en suite, una privilegiada terraza, dos baños completos, una cocina moderna y llena de luz, equipada con un purificador de agua por ósmosis inversa, calefacción, y descalificador que neutraliza la cal en toda la vivienda. Nos da la bienvenida un recibidor sencillamente bonito y acogedor. El sello distintivo es la pared decorada con estuco veneciano que le aporta a este espacio ese toque de belleza artesanal, tan propio de este tipo de pintura. Se va distribuyendo hacia las habitaciones, la cocina y el comedor. El acogedor vestíbulo se abre la derecha, a la zona de noche con una amplia habitación individual, otra sencilla de 7m2, donde puede ir cualquier tipo de habitación: una habitación para los peques, una sala de estar, un despacho, un estudio, o un vestidor, (estos dos dormitorios cuentan con un baño familiar con bañera, inodoro y tocador con lavabo y espejo) y un tercer dormitorio en suite de 13m2, que da a un balcón, las vistas son sorprendentes a la montaña sagrada. Cómoda en todo momento, esta dependencia, está equipado con un elegante baño completo, donde el azulejo le aporta un encanto natural y moderno.Siguiendo hacia el interior, nos encontramos con una cocina largada de 8m2, bien equipada donde se ha buscado la funcionalidad al mismo tiempo que la estética (la combinación del blanco y el negro, le aportan un toque de elegancia y funcionalidad). A destacar su pequeño rincón de desayuno rápido. ¡Hay que reconocer que se ha sacado provecho a sus dimensiones! Tiene acceso a la zona lavadero con ventana, que favorece la entrada de luz todo el año; es de agradecer, ya que ayuda a estar más cómodos en un lugar donde se pasan largos ratos poniendo lavadoras.Sentirás el confort nada más entrar en el salón, el auténtico corazón del piso, en el que se han dispuesto una zona de estar y un comedor en un espacio único de 30m2, con mucho sol por la mañana, se abre a una terraza que fluye hacia el exterior buscando las vistas despejadas del paisaje de los valles y las montañas del entorno excepcional donde se encuentra la vivienda. Merece la pena aprovechar muy bien esta terraza de 18m2 (suficientes) para convertirla en un lugar que invite a cenar en las noches de verano, charlar o tomar algo, con la familia o/y los amigos, o desconectar durante el fin de semana. En definitiva, una zona de relax excelente, con buenas vistas.Incluye en el precio una plaza de aparcamiento para un coche grande y moto y un trastero para almacenar las cosas que no se utilizan cada día: bicis, maletas, mochilas... Situado al pie de la escultural silueta de la mágica montaña de Montserrat, es ideal para gozar de una excursión que nunca decepciona, en cualquier época del año, con los niños, la familia y/o los amigos o para una mayor tranquilidad, subir la montaña, hasta llegar a la cumbre, y disfrutar de su tranquilidad, mientras ves a los pies el santuario y más allá.Es un piso ideal para tu familia, dada su corta distancia a la salida de la A-2, dirección Barcelona y/o Igualada, Lérida, y a menos de 7 min de la autopista del mediterráneo, a la parada del Bus con conexión a Barcelona y otras capitales de la comarca ( Olesa de Montserrat, Abrera, Martorell, Manresa, Igualada,…) y el servicio de bus del Hispano Igualadina que te llevara en menos de 10’ a la parada de tren (FGC o Renfe).                                           ¡Nada más verlo lo querrás!     ¡Pide una visita hoy para apreciar plenamente lo que te puede ofrecer!
",Entre 10 y 20 años,En buen estado,"Superficie construida: 100 m² , Superficie útil: 90 m² , Habitaciones: 3, Baños: 2, Planta: 4ª, Exterior: , Antigüedad: Entre 10 y 20 años, Conservación: En buen estado, Gastos de comunidad: Entre 20 y 40€, Referencia: 999081-2030","Tipo suelo: Gres, Vidrios dobles: , Carpintería exterior: Aluminio","Gas: Natural, Teléfono: , Calefacción: Gas natural, Cocina: Elegante y funcional, Comedor: , Lavadero: Con ventana, Garaje: 1, Trastero: , Puerta blindada: , Ascensor: ",Clasificación: : En trámite,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-2547570943_999081/
1,Casa adosada en venta en Esparreguera,Esparreguera,277.000 , 4 , 2 s,120 ,,2.308,"Se vende preciosa casa adosada en esparreguera, muy céntrica cerca de todos los servicios necesarios a pocos metros, como transporte público, escuelas, ambulatorio, ayuntamiento, tiendas varias, etc.... Y a tan solo 30 minutos de barcelona..  Totalmente reformada de origen esta vivienda es muy acogedora y está decorada con mucho gusto, luminosa y a punto para entrar a vivir !!!.  Dispone de un total de 3 plantas con la siguiente distribución: planta primera con recibidor, gran salón-comedor con salida a acogedora terraza posterior de 20 m², amplia cocina independiente y 1 aseo. Planta segunda con 4 habitaciones (3 de ellas dobles) y 1 baño completo. Planta tercera se accede por escalera de madera para llegar a preciosa zona abuhardillada con chimenea apta para muchos usos con salida a otra terraza exterior de 20 m²..  Fantásticos acabados como suelos de gres y parquet, calefacción a gas natural, puertas interiores de haya y exterior blindada, cristaleria exterior de madera con cristales climalit, armarios empotrados, osmosis y descalcificador, etc....  Todos los servicios dados de alta. Se dejarán algunos muebles. La casa no tiene garaje pero hay plazas disponibles en alquiler a pocos metros..  +++ llamanos para visita sin compromiso, seguro que te encanta +++
        ",Entre 30 y 50 años,Reformado,"Superficie construida: 120 m² , Superficie útil: 103 m² , Habitaciones: 4, Baños: 2, Tipo de casa: Adosada, Antigüedad: Entre 30 y 50 años, Conservación: Reformado, Referencia: SA449-593995/3134","Amueblado: , Armarios empotrados: ","Calefacción: Gas natural, Chimenea: , Puerta blindada: ","Clasificación: : Disponible, Emisiones: : 36 Kg CO2/m2 año",https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-100086983186_100500/
2,Casa adosada en venta en Esparreguera,Esparreguera,275.000 , 3 , 2 s,165 ,,1.666,"Se vende casa adosada en la zona del castell de esparreguera, zona muy tranquila a la vez que tienes todos los servicios necesarios a poca distancia, como escuelas e instituto, transporte público, supermercados, etc.... Y a pocos metros enlace autovia a-2. Barcelona se encuentra a tan solo 25 minutos..  La vivienda se ubica en una calle de uso solo para los vecinos y justo al lado de un parque infantil. Tiene un total de 4 plantas con la siguiente distribución: planta baja con amplio garage y una zona como despacho con salida a patio trasero de más de 30 m². Inicialmente era todo garage. Planta primera con 1 aseo, cocina independiente con salida a lavadero cerrado y gran salón-comedor de 30 m² con salida a bonita terraza exterior. Planta segunda con 3 habitaciones dobles (1 de ellas con gran armario-vestidor y salida a balcón) y 1 baño con bañera. Planta tercera como gran zona abuhardillada apta para muchos usos..  Fantásticos acabados como suelos de gres y parquet, carpinteria exterior de aluminio-climalit, persiana salón y puerta garage motorizada, puertas interiores de haya y exterior blindada, calefacción a gas natural, aire acondicionado con bomba de calor, etc.... Totalmente renovada de origen, casa muy luminosa con una fantástica orientación sur, son todos los servicios dados de alta y a punto para entrar a vivir !!!.  +++ llamanos para visita sin compromiso, te encantará +++.
        ",Entre 20 y 30 años,En buen estado,"Superficie construida: 165 m² , Superficie útil: 160 m² , Habitaciones: 3, Baños: 2, Tipo de casa: Adosada, Antigüedad: Entre 20 y 30 años, Conservación: En buen estado, Referencia: SA449-594174/3134",Armarios empotrados: ,"Calefacción: Gas natural, Garaje: , Puerta blindada: ","Clasificación: : Disponible, Emisiones: : ",https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-100036323922_100500/
3,"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,145.000 , 3 , 2 s,82 ,1ª,1.768,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 81 m² y útil de 72 m² distribuidos en un amplio comedor, cocina independiente, 1 habitación doble y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...).
        ",,En buen estado,"Superficie construida: 82 m² , Superficie útil: 72 m² , Habitaciones: 3, Baños: 2, Planta: 1ª, Conservación: En buen estado, Referencia: 3247-053949  ","Carpintería interior: Haya, Tipo suelo: Gres, Carpintería exterior: Aluminio","Aire acondicionado: Frío, Calefacción: Gas natural, Cocina: , Comedor: , Portero automático: , Ascensor: , Adaptado a personas con movilidad reducida: ","Clasificación: : Disponible, Emisiones: : 72 Kg CO2/m2 año",https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85018687006_324700/
4,"Casa en venta en Carrer Gran, nº 82",Esparreguera,217.000 ,, 2 s,236 ,,919,"Casa de 236m²  

Muy céntrica, con  local comercial en la planta baja  totalmente reformado, con baño 



Local p. Baja de 96m²    + patio de 70m²

P. Primera de 72m² (3 habitaciones)

P. Segunda de 72m² (2 habitaciones y 1 habitación buhardilla)

P. Bajo cubierta 20m² (1habitación buhardilla y terraza de 20m²)

Suministros de agua, gas y electricidad de alta

Los desagües generales en planta baja son nuevos

Muy buenos inquilinos en el alquiler del local de planta baja

Ideal inversor

Los importes de venta son meramente informativos y pueden ser susceptibles de cambiar según indicaciones de la propiedad..
        ",,,"Superficie construida: 236 m² , Superficie útil: 236 m² , Baños: 2, Referencia: YE31-3-ES-C-2763-08",,,Clasificación: : En trámite,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100006217030_109200/
5,Casa en venta en Esparreguera,Esparreguera,206.000 , 4 , 1 ,100 ,,2.060,"parcela 1000 m. - Vivienda 100 m2. - Parcela Ascendente. - Salón comedor 25 m2. con fuego a tierra., 4 habitaciones (1 doble), Cocina office nueva, Baño con bañera de hidromasaje nuevo, Suelo gres, nuevo, Calefacción gassoil, Carpintería int. Madera sapelly, exterior mixta madera y aluminio, Barbacoa, Jardin, Garaje 1 coche.
",,En buen estado,"Superficie construida: 100 m² , Superficie útil: 100 m² , Superficie solar: 1.000 m² , Habitaciones: 4, Baños: 1, Conservación: En buen estado, Referencia: 4519327-6871","Vidrios dobles: , Tipo suelo: Gres","Calefacción: Gasoil, Chimenea: , Cocina equipada: , Comedor: , Lavadero: , Garaje: 1, Puerta blindada: ","Clasificación: : Disponible, Emisiones: : 24 Kg CO2/m2 año",https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-2525093089_519327/
6,Casa adosada en venta en La Plana,Esparreguera,178.000 , 4 , 2 s,217 ,,820,"Casa a reformar adosada 116 m²  de 2 plantas en parcela de 120 m², en esparraguera, la zona de la plana. Planta baja: salón comedor. Cocina independiente con salida a patio. Una habitación con baño completo. Segunda planta: 3 habitaciones dobles con un baño completo . Sale a una galería y a un patio que se comunica con la planta baja. Esta muy cerca del centro y de todos los comercios y escuelas. Venga a verla!! Condiciones especiales de financiacion.
        ",Entre 30 y 50 años,En buen estado,"Superficie construida: 217 m² , Superficie solar: 120 m² , Habitaciones: 4, Baños: 2, Tipo de casa: Adosada, Antigüedad: Entre 30 y 50 años, Conservación: En buen estado, Referencia: 500732-00793","Carpintería interior: Haya, Carpintería exterior: Aluminio bronce, Vidrios dobles: Tipo climalit, Tipo suelo: De parket y gres","Chimenea: En comedor, Cocina: Office, Comedor: Con chimenea, Puerta blindada: ","Clasificación: : Disponible, Emisiones: : 55 Kg CO2/m2 año",https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-26927192_500732/
7,Casa en venta en Esparreguera,Esparreguera,200.000 , 3 , 1 ,90 ,Bajo,2.222,"90 m²,. Vivienda  -  parcela plana 562 m². - antigüedad 40 años 
Salón comedor 24 m². Con salida balcón y con chimenea. Cocina office de origen, baño completo con bañera, 3 habitaciones dobles, carpinteria interior sapelly, exterior aluminio climalit, suelo terrazo, bomba de calor en el comedor, piscina con depuradora, trastero, barbacoa, patio, jardin
        ",Entre 30 y 50 años,En buen estado,"Superficie construida: 90 m² , Superficie útil: 90 m² , Superficie solar: 562 m² , Planta: Bajo, Habitaciones: 3, Baños: 1, Antigüedad: Entre 30 y 50 años, Conservación: En buen estado, Referencia: 4519327-006863","Carpintería exterior: Aluminio, Vidrios dobles: , Tipo suelo: Terrazo","Calefacción: Eléctrica, Chimenea: , Cocina equipada: , Comedor: , Lavadero: ","Clasificación: : Disponible, Emisiones: : 30 Kg CO2/m2 año",https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-99247113175_519327/
8,Casa en venta en Esparreguera,Esparreguera,246.000 , 3 , 2 s,168 ,,1.464,"Una de las fuerzas de cambio más poderosas comienzan con una oportunidad; una oferta de trabajo, encontrar la casa con la que siempre soñaste, que los niños crezcan en una zona tranquila, vivir cerca de la ciudad pero alejado de los ruidos y el ajetreo continuo de la gente y los coches, hay muchos motivos por los que queremos cambiar de vivienda ¿cuál es el tuyo?.  Casa a 4 vientos de 168 m2 construida sobre parcela de 500 m2, garaje 23 m2, despacho 8 m2, 3 amplias habitaciones, salon 30 m2, cocina office, lavadero grande, baño completo de 7 m2 con bañera y ducha, aseo, puerta principal aluminio acorazada, suelos porcelanato y parquet en habitaciones, puertas madra, ventanas aluminio.climalit, calefaccion, jardin y piscina privada..  Date un paseo por sus fotos porque una imagen vale más que mil palabras y si lo que quieres es verla, no dudes en solicitar información sin compromiso..  Impuestos y gastos inherentes de la compra no incluidos en el precio..  Si necesitas financiación para la compra de esta vivienda, te asesoraremos y ayudaremos a encontrar la mejor financiación que se adapte a ti..  F [amp;] F Inmobiliaria somos una empresa especializada en la compra venta de inmuebles con más de 20 años de experiencia en el sector inmobiliario ayudando a vender o comprar un hogar a numerosas familias.  La Compraventa de una vivienda es una de las decisiones más importantes de nuestra vida y por tanto es fundamental contar con un profesional especializado en dicho viaje para que te asesore y no tengas que preocuparte de nada.  Gestionamos todos los asuntos referentes a la vivienda: Herencias, VPO, deudas, embargos, separaciones etc. .  En F [amp;] F Inmobiliaria tendrás el asesoramiento de un API colegiado 2856, aicat 1334, CRS y REALTOR, además pertenecemos a la agrupación MLS nacional, AMPSI, Comprarcasa y el colectivo API con los que colaboramos activamente.
        ",Entre 30 y 50 años,En buen estado,"Superficie construida: 168 m² , Superficie útil: 158 m² , Habitaciones: 3, Superficie solar: 500 m² , Baños: 2, Antigüedad: Entre 30 y 50 años, Conservación: En buen estado, Referencia: SA371-5103/2536",,"Agua: , Calefacción: Gas natural, Comedor: , Garaje: , Puerta blindada: , Trastero: ","Clasificación: : Disponible, Emisiones: : ",https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-94195960051_100500/
9,Casa en venta en Esparreguera,Esparreguera,199.000 , 4 , 1 ,150 ,Sótano,1.326,"Propietaris.cat ®, líder en catalunya para la venta entre particulares sin comisiones, ofrece:

- fantástica casa en una sola planta con vistas panorámicas espectaculares y privacidad total en esparraguera, con 1000 mt2 de parcela y posibilidad de ampliar construcción
- la casa es totalmente exterior, con mucha luz y una terraza muy amplia a pie de comedor con vistas impresionantes y despejadas
- la construcción se llevó a cabo en un solo nivel, sin escaleras interiores, para maximizar la comodidad y el día a día, además de aprovechar al máximo la orientación del edificio
- se dispone de una gran salón comedor de 25 mt2 con chimenea de obra y cocina independiente anexa al comedor y totalmente equipada
- hay 4 habitaciones (2 dobles + 2 individuales) y un baño completo y espacioso con jacuzzi para relajarse a diario
- la casa está rodeada de jardines y terrazas, incluyendo una zona de barbacoa y porche para disfrutar todo el año con amigos o en familia
- suelos recién reformados de estilo rústico, calefacción de gasoil en toda la casa, aunque con toma de gas natural si se prefiere esta otra opción
- instalación de agua nueva hecha hace 1 año para optimizar riego y uso diario del subministro
- la finca tiene mucho espacio para instalar piscina olímpica, zona de gimansio o zona de huerto. Sin duda, para el disfrute de cualquier tipo de pareja o unidad familiar

Una casa perfecta para entrar a vivir directamente o actualizar a gusto del comprador.

Propietaris.cat ® le garantiza el mejor precio del mercado, sin comisiones de agencia. 

Propietaris.cat ®, ofrece siempre inmuebles con fotos 100% reales, sin filtros ni gran angular.

Con propietaris.cat ®, no hay intermediarios, con lo que comprador y vendedor se ahorran directamente miles de euros  y la venta se cierra al mejor precio para ambas partes!

Todos los inmuebles, servicios integrales y financiación hipotecaria 100% en www.propietaris.cat
        ",Entre 30 y 50 años,Reformado,"Superficie construida: 150 m² , Superficie útil: 120 m² , Superficie solar: 1.000 m² , Planta: Sótano, Habitaciones: 4, Baños: 1, Antigüedad: Entre 30 y 50 años, Conservación: Reformado, Referencia: 513853-LUXESPARRAGUERA","Amueblado: , Armarios empotrados: Más de 2, Carpintería exterior: Aluminio, Vidrios dobles: , Tipo suelo: Mármol","Gas: , Teléfono: , Calefacción: Gasoil, Chimenea: , Cocina: , Comedor: , Lavadero: , Garaje: 1, Puerta blindada: , Sistema de seguridad: ",Clasificación: : En trámite,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-90036078325_513853/
